epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0325,1.33865,2.63366,1.20302,0.03027,0.6345,0.26659,0.1657,1.06371,2.85133,1.04573,0.00046676,0.00046676,0.00046676
2,46.3354,1.11725,1.64565,1.07195,0.79366,0.1877,0.45138,0.28255,1.13739,2.36029,1.05845,0.000940783,0.000940783,0.000940783
3,67.8685,1.11168,1.42017,1.07105,0.51633,0.52711,0.54167,0.36367,1.09691,1.80876,1.04617,0.00140523,0.00140523,0.00140523
4,93.0731,1.09768,1.37385,1.05852,0.53408,0.42304,0.45577,0.28863,1.24915,1.32568,1.11912,0.00161749,0.00161749,0.00161749
5,113.692,1.10923,1.34682,1.06614,0.46692,0.5805,0.48441,0.32241,1.19766,1.70773,1.1244,0.00160099,0.00160099,0.00160099
6,134.714,1.10503,1.2984,1.06161,0.38459,0.37645,0.31846,0.19405,1.22461,2.32242,1.14221,0.00158448,0.00158448,0.00158448
7,154.649,1.07484,1.24063,1.04887,0.59175,0.50345,0.53791,0.37298,1.08449,1.17445,1.0726,0.00156798,0.00156798,0.00156798
8,174.662,1.04437,1.16542,1.03551,0.45296,0.50916,0.46358,0.28852,1.16888,1.49049,1.08519,0.00155148,0.00155148,0.00155148
9,194.823,1.03513,1.18011,1.04327,0.7024,0.57996,0.62792,0.40431,1.11485,0.99006,1.08045,0.00153497,0.00153497,0.00153497
10,214.504,1.04325,1.13287,1.04274,0.66915,0.53611,0.61367,0.41311,1.11368,1.27833,1.07144,0.00151847,0.00151847,0.00151847
11,234.442,1.01513,1.10534,1.02366,0.68012,0.57368,0.64071,0.41335,1.08507,1.04265,1.05759,0.00150197,0.00150197,0.00150197
12,257.336,1.02355,1.09146,1.0356,0.74055,0.61625,0.68028,0.45802,1.11116,0.86514,1.07219,0.00148546,0.00148546,0.00148546
13,285.023,0.99818,1.04763,1.02724,0.72326,0.57733,0.66002,0.44688,1.03008,0.8941,1.03377,0.00146896,0.00146896,0.00146896
14,306.598,0.98578,1.01785,1.01997,0.73526,0.57278,0.67384,0.42775,1.16371,0.9328,1.078,0.00145246,0.00145246,0.00145246
15,331.11,0.9681,1.07851,1.02276,0.79336,0.64646,0.71682,0.51137,1.00125,0.79445,1.02684,0.00143595,0.00143595,0.00143595
16,354.519,0.982,1.02037,1.01827,0.74076,0.62583,0.70673,0.48444,1.0765,0.8945,1.06987,0.00141945,0.00141945,0.00141945
17,374.893,0.95955,0.98579,1.00543,0.76443,0.60866,0.70138,0.49182,1.00808,0.8253,1.02471,0.00140295,0.00140295,0.00140295
18,397.04,0.95149,0.98351,1.00648,0.64142,0.657,0.67584,0.47121,1.01295,0.9196,1.03854,0.00138644,0.00138644,0.00138644
19,418.851,0.94771,1.04293,1.00966,0.74315,0.66083,0.71526,0.48941,1.00568,0.81823,1.03076,0.00136994,0.00136994,0.00136994
20,442.93,0.93724,0.97324,0.99482,0.77561,0.58524,0.67915,0.47817,1.06026,0.8904,1.07273,0.00135344,0.00135344,0.00135344
21,462.088,0.94355,0.93548,1.00034,0.71471,0.6195,0.69557,0.48613,1.02024,0.88025,1.03797,0.00133693,0.00133693,0.00133693
22,482.09,0.96182,0.9632,1.00399,0.75791,0.65168,0.72742,0.50377,1.0557,0.82139,1.05048,0.00132043,0.00132043,0.00132043
23,502.012,0.9362,0.92702,0.99544,0.71799,0.62349,0.69454,0.47641,1.02333,0.80399,1.03454,0.00130393,0.00130393,0.00130393
