epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3008,1.33865,2.63366,1.20302,0.03027,0.6345,0.26659,0.1657,1.06371,2.85133,1.04573,0.00046676,0.00046676,0.00046676
2,45.9047,1.11773,1.64003,1.0697,0.76706,0.12714,0.43223,0.27187,1.15203,2.39761,1.06678,0.000931376,0.000931376,0.000931376
3,74.2546,1.10706,1.41866,1.07033,0.51651,0.35961,0.41869,0.26327,1.28328,2.40425,1.18739,0.00137685,0.00137685,0.00137685
4,96.4156,1.10363,1.37012,1.0572,0.59394,0.53235,0.53368,0.35443,1.17227,1.20277,1.09807,0.00156798,0.00156798,0.00156798
5,119.05,1.09301,1.3504,1.0636,0.54222,0.53086,0.49708,0.32693,1.11986,1.26661,1.06543,0.00153497,0.00153497,0.00153497
6,139.058,1.10373,1.31905,1.06224,0.46163,0.4943,0.46405,0.30853,1.11302,1.71741,1.06993,0.00150197,0.00150197,0.00150197
7,158.462,1.06957,1.22493,1.04499,0.58422,0.53189,0.55146,0.37332,1.07624,1.12701,1.0581,0.00146896,0.00146896,0.00146896
8,180.243,1.04224,1.18145,1.03908,0.62624,0.48182,0.53406,0.33609,1.14509,1.6166,1.07428,0.00143595,0.00143595,0.00143595
9,199.175,1.01969,1.15957,1.03603,0.70231,0.6383,0.68917,0.47687,1.03721,0.88428,1.05041,0.00140295,0.00140295,0.00140295
10,218.843,1.02708,1.12937,1.03356,0.76419,0.60055,0.67737,0.46371,1.08339,0.90845,1.05752,0.00136994,0.00136994,0.00136994
11,240.365,0.99067,1.09311,1.01638,0.64954,0.64506,0.66168,0.43171,1.10373,0.91882,1.05946,0.00133693,0.00133693,0.00133693
12,259.134,1.00556,1.07467,1.03068,0.67322,0.61292,0.64398,0.43293,1.0807,0.88973,1.049,0.00130393,0.00130393,0.00130393
13,278.346,0.99966,1.05011,1.02056,0.74351,0.58113,0.6755,0.46937,1.02047,1.01388,1.02624,0.00127092,0.00127092,0.00127092
14,298.641,0.98371,1.00594,1.01712,0.70451,0.60076,0.67233,0.47589,1.03515,0.87697,1.02199,0.00123791,0.00123791,0.00123791
15,318.185,0.93692,1.05156,1.00581,0.75207,0.62676,0.6866,0.4807,1.03807,0.85192,1.03179,0.00120491,0.00120491,0.00120491
16,338.259,0.9669,1.00419,1.01278,0.7499,0.6566,0.70278,0.48514,1.04303,0.82712,1.0406,0.0011719,0.0011719,0.0011719
17,358.72,0.93878,0.96113,0.99679,0.78441,0.64151,0.71273,0.51615,0.98331,0.79144,1.01815,0.00113889,0.00113889,0.00113889
18,377.98,0.93671,0.96953,0.99844,0.73598,0.6415,0.70536,0.49771,1.01762,0.84926,1.02777,0.00110589,0.00110589,0.00110589
19,397.429,0.92263,1.01022,0.99705,0.76158,0.62647,0.71891,0.50814,1.00246,0.83217,1.03266,0.00107288,0.00107288,0.00107288
20,417.131,0.91605,0.94677,0.98712,0.80874,0.62553,0.71728,0.50657,1.00035,0.80775,1.02866,0.00103987,0.00103987,0.00103987
21,436.665,0.91906,0.91287,0.9895,0.78895,0.66062,0.74712,0.52372,0.99123,0.80058,1.02055,0.00100687,0.00100687,0.00100687
22,456.687,0.92839,0.92673,0.98527,0.84477,0.61976,0.74244,0.51165,1.04856,0.78918,1.04453,0.000973861,0.000973861,0.000973861
23,476.471,0.92362,0.88832,0.99127,0.65088,0.6313,0.69003,0.46964,0.99943,1.01571,1.0228,0.000940855,0.000940855,0.000940855
