epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8176,1.40306,9.8411,1.27833,0.38743,0.44678,0.35721,0.23473,1.1523,6.25881,1.15491,0.00046676,0.00046676,0.00046676
2,52.5777,1.14797,5.84259,1.13311,0.27236,0.32618,0.27277,0.17267,1.29985,10.2096,1.2499,0.000940783,0.000940783,0.000940783
3,79.7628,1.16886,5.07112,1.13136,0.45507,0.48275,0.44717,0.27282,1.23916,6.22642,1.23306,0.00140523,0.00140523,0.00140523
4,108.595,1.17062,4.93778,1.12738,0.13847,0.37356,0.09397,0.04836,1.79935,17.8882,1.63531,0.00161749,0.00161749,0.00161749
5,132.659,1.14203,4.73363,1.12259,0.48825,0.48858,0.4342,0.2756,1.2859,5.39047,1.27066,0.00160099,0.00160099,0.00160099
6,155.917,1.1618,4.76594,1.13714,0.43227,0.21042,0.18121,0.10536,2.18693,10.5511,2.62499,0.00158448,0.00158448,0.00158448
7,179.874,1.15723,4.757,1.12669,0.73371,0.55027,0.61203,0.40991,1.14417,4.37573,1.15228,0.00156798,0.00156798,0.00156798
8,204.557,1.12079,4.496,1.11117,0.6351,0.50507,0.54706,0.34367,1.23777,4.66346,1.21367,0.00155148,0.00155148,0.00155148
9,226.677,1.09092,4.26966,1.10559,0.71311,0.56426,0.63203,0.43021,1.14245,3.8229,1.12808,0.00153497,0.00153497,0.00153497
10,251.587,1.09207,4.2547,1.09924,0.67876,0.60773,0.66953,0.45504,1.08503,3.78472,1.10124,0.00151847,0.00151847,0.00151847
11,276.241,1.0529,4.15221,1.08313,0.73843,0.61239,0.67506,0.45017,1.05111,3.25633,1.07211,0.00150197,0.00150197,0.00150197
12,299.02,1.05805,4.01096,1.08725,0.74819,0.64832,0.71977,0.4926,1.06646,3.31724,1.0836,0.00148546,0.00148546,0.00148546
13,324.564,1.06461,4.01008,1.08753,0.73434,0.64774,0.71091,0.48944,1.06213,3.14623,1.08873,0.00146896,0.00146896,0.00146896
14,347.286,1.04431,3.86903,1.07761,0.75262,0.64504,0.70853,0.47976,1.07526,3.14401,1.09107,0.00145246,0.00145246,0.00145246
15,369.751,1.02655,3.94403,1.07276,0.76172,0.63908,0.70286,0.4818,1.07164,3.40426,1.09943,0.00143595,0.00143595,0.00143595
16,392.618,1.02972,3.80174,1.06781,0.81232,0.60622,0.69168,0.46588,1.08492,3.25377,1.09765,0.00141945,0.00141945,0.00141945
17,415.773,1.00125,3.7371,1.05137,0.84071,0.61712,0.73407,0.49971,1.07361,3.19073,1.07984,0.00140295,0.00140295,0.00140295
