epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4056,1.3438,2.35472,1.24194,0.25904,0.53475,0.23057,0.14905,1.08091,1.97177,1.09668,0.00046676,0.00046676,0.00046676
2,48.033,1.10401,1.41781,1.09742,0.25754,0.3702,0.21801,0.12836,1.27684,2.35326,1.23135,0.000940783,0.000940783,0.000940783
3,70.8699,1.10328,1.24216,1.09288,0.19697,0.24175,0.1671,0.09843,1.64632,2.59778,1.51189,0.00140523,0.00140523,0.00140523
4,93.0447,1.08904,1.18887,1.0908,0.29032,0.30184,0.27077,0.16552,1.4373,3.5416,1.34569,0.00161749,0.00161749,0.00161749
5,118.435,1.07855,1.16642,1.08792,0.50142,0.51257,0.49556,0.32697,1.14252,1.19082,1.138,0.00160099,0.00160099,0.00160099
6,143.09,1.09921,1.15837,1.09792,0.61838,0.54538,0.60268,0.40292,1.11268,1.24802,1.1341,0.00158448,0.00158448,0.00158448
7,168.074,1.07576,1.13971,1.07785,0.61234,0.60882,0.61711,0.43633,1.02814,1.02657,1.07272,0.00156798,0.00156798,0.00156798
8,191.633,1.04164,1.06965,1.06714,0.64184,0.56181,0.61602,0.40691,1.14814,1.01217,1.13156,0.00155148,0.00155148,0.00155148
9,215.036,1.02812,1.0292,1.07206,0.72105,0.59848,0.66611,0.44008,1.11075,0.92399,1.09549,0.00153497,0.00153497,0.00153497
10,239.142,1.03233,1.0339,1.06337,0.70587,0.53247,0.62476,0.41967,1.08051,0.94837,1.09265,0.00151847,0.00151847,0.00151847
11,262.736,0.98734,1.03377,1.04453,0.78036,0.64207,0.72443,0.4939,1.04205,0.80539,1.06364,0.00150197,0.00150197,0.00150197
12,288.491,1.00057,0.99354,1.04924,0.73444,0.63979,0.69005,0.46619,1.05884,0.81169,1.08127,0.00148546,0.00148546,0.00148546
13,311.026,0.99092,0.97996,1.04506,0.7753,0.61943,0.70485,0.48265,1.06534,0.8265,1.06895,0.00146896,0.00146896,0.00146896
14,334.169,0.96423,0.93058,1.02685,0.7047,0.54662,0.64723,0.43966,1.06276,0.89887,1.06153,0.00145246,0.00145246,0.00145246
15,356.509,0.94294,0.99226,1.03266,0.81483,0.63934,0.72894,0.52146,0.97233,0.78046,1.04533,0.00143595,0.00143595,0.00143595
16,381.082,0.95021,0.92411,1.02779,0.85575,0.59954,0.73225,0.50828,0.99182,0.78159,1.05236,0.00141945,0.00141945,0.00141945
17,404.429,0.92564,0.89895,1.01137,0.75217,0.66836,0.73837,0.53104,0.96274,0.77156,1.04081,0.00140295,0.00140295,0.00140295
18,429.92,0.93117,0.88906,1.01577,0.76438,0.66602,0.72943,0.51683,0.97901,0.8097,1.04269,0.00138644,0.00138644,0.00138644
19,453.285,0.90423,0.9646,1.0099,0.6763,0.62128,0.63836,0.44132,0.99021,0.78722,1.04599,0.00136994,0.00136994,0.00136994
20,475.94,0.90154,0.89941,0.99729,0.75834,0.64676,0.72544,0.51088,0.98454,0.79925,1.02494,0.00135344,0.00135344,0.00135344
21,498.75,0.90811,0.86135,0.99892,0.747,0.66567,0.72774,0.52009,0.98409,0.77895,1.03914,0.00133693,0.00133693,0.00133693
22,522.028,0.9101,0.87504,1.00296,0.82732,0.66461,0.75793,0.51455,1.03759,0.72748,1.07782,0.00132043,0.00132043,0.00132043
23,545.043,0.89298,0.82633,0.99468,0.6919,0.65377,0.69989,0.48277,1.00018,0.85162,1.04089,0.00130393,0.00130393,0.00130393
24,568.565,0.89825,0.87596,1.00376,0.77841,0.65594,0.74264,0.50533,1.00588,0.73531,1.05466,0.00128742,0.00128742,0.00128742
25,589.823,0.89351,0.9712,0.99595,0.77279,0.64592,0.74394,0.51655,0.98118,0.74403,1.04119,0.00127092,0.00127092,0.00127092
26,613.077,0.88306,0.79384,0.99021,0.78563,0.67434,0.74206,0.52139,0.95987,0.70956,1.03938,0.00125442,0.00125442,0.00125442
27,636.665,0.87114,0.81806,0.98214,0.76564,0.67078,0.75378,0.52964,0.9489,0.72624,1.03142,0.00123791,0.00123791,0.00123791
28,659.127,0.86107,0.75949,0.97811,0.74093,0.68724,0.74716,0.53473,0.93638,0.79598,1.01262,0.00122141,0.00122141,0.00122141
29,684.573,0.84526,0.73578,0.96952,0.78553,0.66067,0.7376,0.51051,0.99251,0.75118,1.04219,0.00120491,0.00120491,0.00120491
30,708.24,0.8491,0.75953,0.98009,0.74591,0.67646,0.74557,0.52859,0.94165,0.7305,1.0194,0.0011884,0.0011884,0.0011884
