epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7035,1.40439,2.85302,1.2336,0.9331,0.1329,0.29732,0.18235,1.10152,2.64287,1.02812,0.00026672,0.00026672,0.00026672
2,23.8146,1.08652,1.33936,1.03835,0.62203,0.21981,0.35365,0.20563,1.23652,2.596,1.11853,0.000539218,0.000539218,0.000539218
3,33.6609,1.04821,1.09034,1.01788,0.60297,0.37681,0.48742,0.29776,1.17832,2.04533,1.04863,0.000800493,0.000800493,0.000800493
4,44.4719,1.02022,1.01188,1.00916,0.5738,0.48031,0.55056,0.35523,1.13934,1.87328,1.02366,0.00105055,0.00105055,0.00105055
5,55.2703,0.98827,0.97078,1.0108,0.61069,0.52747,0.55916,0.36982,1.11035,1.47564,1.02613,0.00128938,0.00128938,0.00128938
6,65.3212,1.0154,0.95852,1.01833,0.43701,0.50891,0.41229,0.27113,1.10719,1.63229,1.03822,0.00150197,0.00150197,0.00150197
7,75.3623,1.00435,0.9195,1.00214,0.57296,0.50815,0.51532,0.34501,1.14347,1.46451,1.08499,0.00146896,0.00146896,0.00146896
8,85.8712,0.99735,0.89939,1.01218,0.78189,0.57126,0.64981,0.44617,1.09196,1.00866,1.05,0.00143595,0.00143595,0.00143595
9,95.8389,0.96726,0.85486,0.99021,0.47825,0.43003,0.44149,0.29287,1.12523,1.24838,1.06689,0.00140295,0.00140295,0.00140295
10,105.318,0.96978,0.85812,1.00214,0.61713,0.53175,0.56686,0.38276,1.08153,1.0098,1.04561,0.00136994,0.00136994,0.00136994
11,116.106,0.93805,0.80281,0.98531,0.67181,0.57216,0.62176,0.42067,1.06256,1.072,1.04041,0.00133693,0.00133693,0.00133693
12,126.427,0.94779,0.79766,0.98905,0.6487,0.65124,0.66183,0.44475,1.05216,0.91405,1.02567,0.00130393,0.00130393,0.00130393
13,135.133,0.94869,0.77114,0.98294,0.69287,0.61547,0.6812,0.46328,1.03051,0.94636,1.02077,0.00127092,0.00127092,0.00127092
14,146.07,0.91809,0.76346,0.98507,0.78575,0.64621,0.7208,0.48787,1.04099,0.82729,1.03876,0.00123791,0.00123791,0.00123791
15,156.506,0.92335,0.76405,0.97847,0.79281,0.61552,0.70378,0.47802,1.01823,0.87702,1.01525,0.00120491,0.00120491,0.00120491
16,166.062,0.9128,0.75369,0.98016,0.69545,0.57776,0.63349,0.42248,1.02361,0.92828,1.03725,0.0011719,0.0011719,0.0011719
17,177.547,0.91537,0.7314,0.97206,0.73295,0.65291,0.71295,0.47061,1.04994,0.81985,1.04386,0.00113889,0.00113889,0.00113889
18,188.922,0.91462,0.71506,0.97311,0.80837,0.65169,0.72283,0.5026,1.04768,0.78626,1.03988,0.00110589,0.00110589,0.00110589
19,198.015,0.89675,0.69796,0.96887,0.80068,0.67906,0.74391,0.51577,1.0165,0.74279,1.01806,0.00107288,0.00107288,0.00107288
20,208.072,0.87379,0.69075,0.96361,0.79653,0.68314,0.74431,0.53063,0.95179,0.73262,0.9946,0.00103987,0.00103987,0.00103987
21,218.873,0.86745,0.65774,0.95657,0.79484,0.65995,0.73551,0.51883,1.02108,0.76865,1.04193,0.00100687,0.00100687,0.00100687
22,229.085,0.85954,0.65703,0.94788,0.73921,0.57569,0.64994,0.4426,1.03578,0.86288,1.04886,0.000973861,0.000973861,0.000973861
23,238.206,0.84506,0.65212,0.94818,0.81677,0.64421,0.74827,0.53811,0.93975,0.72822,0.99719,0.000940855,0.000940855,0.000940855
24,249.42,0.84798,0.64224,0.95282,0.74453,0.65018,0.70864,0.49769,0.99265,0.75511,1.02223,0.000907848,0.000907848,0.000907848
25,259.405,0.83666,0.63266,0.94998,0.7968,0.63878,0.71874,0.50139,0.95522,0.74565,1.00826,0.000874842,0.000874842,0.000874842
26,269.739,0.84513,0.62461,0.95042,0.8403,0.63977,0.7495,0.53214,0.95301,0.75515,1.0099,0.000841835,0.000841835,0.000841835
27,280.236,0.83698,0.61564,0.9472,0.80232,0.67115,0.75896,0.53727,0.9606,0.70788,1.00386,0.000808828,0.000808828,0.000808828
28,290.873,0.83646,0.61385,0.95157,0.76306,0.70322,0.76075,0.53329,0.94933,0.69955,1.00307,0.000775822,0.000775822,0.000775822
29,302.52,0.81429,0.60209,0.94255,0.76941,0.70699,0.76705,0.55472,0.93023,0.70033,0.99134,0.000742815,0.000742815,0.000742815
30,314.526,0.83082,0.6145,0.94451,0.80594,0.67459,0.76059,0.54508,0.93509,0.69685,1.00513,0.000709809,0.000709809,0.000709809
31,325.613,0.82673,0.59586,0.94123,0.80322,0.70455,0.7807,0.56521,0.95316,0.69268,1.0174,0.000676802,0.000676802,0.000676802
32,335.958,0.82076,0.5866,0.93762,0.82396,0.68863,0.77518,0.56125,0.9411,0.66949,1.00958,0.000643795,0.000643795,0.000643795
33,345.407,0.8099,0.57305,0.93053,0.81471,0.71824,0.78988,0.5615,0.98818,0.67722,1.02556,0.000610789,0.000610789,0.000610789
34,356.059,0.79304,0.56902,0.93153,0.85603,0.71144,0.79851,0.57449,0.93058,0.65639,0.99626,0.000577782,0.000577782,0.000577782
35,366.924,0.78599,0.55966,0.92065,0.85342,0.71052,0.7887,0.56457,0.94286,0.65572,1.00216,0.000544776,0.000544776,0.000544776
36,376.698,0.78319,0.55599,0.92491,0.83786,0.69686,0.78347,0.57307,0.94244,0.66618,1.00127,0.000511769,0.000511769,0.000511769
37,386.335,0.76534,0.541,0.92289,0.76136,0.68734,0.7471,0.5213,0.96448,0.69117,1.00915,0.000478762,0.000478762,0.000478762
38,396.927,0.76184,0.54066,0.91772,0.81638,0.7049,0.77428,0.56838,0.92725,0.66306,0.99431,0.000445756,0.000445756,0.000445756
39,406.832,0.7528,0.52407,0.92217,0.82602,0.70688,0.77669,0.56475,0.93246,0.63888,1.00099,0.000412749,0.000412749,0.000412749
40,416.353,0.75335,0.52655,0.91262,0.80675,0.70247,0.77556,0.5656,0.91182,0.64312,0.98872,0.000379743,0.000379743,0.000379743
